card_id,story_group,common_name,scientific_name,conservation_status_nsw,conservation_status_epbc,habitat_type,why_fragmented_rainforest_matters,recorded_locally,locality_context,n_records_in_context,year_min,year_max,is_threatened,is_sensitive,map_display,source,evidence_tag,photo_status,photo_credit
sp_001,Mammals,Grey-headed Flying-fox,Pteropus poliocephalus,Vulnerable,Vulnerable,Rainforest / wet forest mosaic,"Many native mammals need linked canopy, hollows, or dense understorey. When rainforest and wet forest sit as islands in pasture, movement and recolonisation get harder.",True,recorded within ~2 km of Robertson Nature Reserve,8,2013,2018,True,False,aggregated_grid_only,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_002,Mammals,Koala,Phascolarctos cinereus,Endangered,Endangered,Rainforest / wet forest mosaic,"Many native mammals need linked canopy, hollows, or dense understorey. When rainforest and wet forest sit as islands in pasture, movement and recolonisation get harder.",True,recorded within ~2 km of Robertson Nature Reserve,5,2015,2020,True,False,aggregated_grid_only,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_003,Mammals,Spotted-tailed Quoll,Dasyurus maculatus,Vulnerable,Endangered,Rainforest / wet forest mosaic,"Many native mammals need linked canopy, hollows, or dense understorey. When rainforest and wet forest sit as islands in pasture, movement and recolonisation get harder.",True,recorded within ~2 km of Robertson Nature Reserve,4,1980,2004,True,False,aggregated_grid_only,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_004,Mammals,Southern Greater Glider,Petauroides volans,Endangered,Endangered,Rainforest / wet forest mosaic,"Many native mammals need linked canopy, hollows, or dense understorey. When rainforest and wet forest sit as islands in pasture, movement and recolonisation get harder.",True,recorded within ~2 km of Robertson Nature Reserve,1,2016,2016,True,False,aggregated_grid_only,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_005,Birds,Superb Lyrebird,Menura novaehollandiae,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Birds can cross gaps more easily than many mammals, yet rainforest specialists still depend on enough remnant cover and flowering/fruiting plants across the landscape.",True,recorded within ~2 km of Robertson Nature Reserve,1,2017,2017,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_006,Birds,Flame Robin,Petroica phoenicea,Vulnerable,Not Listed,Rainforest / wet forest mosaic,"Birds can cross gaps more easily than many mammals, yet rainforest specialists still depend on enough remnant cover and flowering/fruiting plants across the landscape.",True,recorded within ~2 km of Robertson Nature Reserve,1,1989,1989,True,False,aggregated_grid_only,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_007,Birds,Crimson Rosella,Platycercus elegans,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Birds can cross gaps more easily than many mammals, yet rainforest specialists still depend on enough remnant cover and flowering/fruiting plants across the landscape.",True,recorded within ~2 km of Robertson Nature Reserve,50,1992,2025,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_008,Birds,Australian Magpie,Gymnorhina tibicen,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Birds can cross gaps more easily than many mammals, yet rainforest specialists still depend on enough remnant cover and flowering/fruiting plants across the landscape.",True,recorded within ~2 km of Robertson Nature Reserve,31,1992,2025,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_009,Amphibians,Verreaux's Frog,Litoria verreauxii,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Frogs often need moist refuges, streams, and vegetated drainage lines. Riparian gaps can matter as much as the size of a single bushland patch.",True,recorded within ~2 km of Robertson Nature Reserve,77,2003,2023,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_010,Amphibians,Screaming Tree Frog,Litoria quiritatus,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Frogs often need moist refuges, streams, and vegetated drainage lines. Riparian gaps can matter as much as the size of a single bushland patch.",True,recorded within ~2 km of Robertson Nature Reserve,15,2017,2023,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_011,Amphibians,Peron's Tree Frog,Litoria peronii,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Frogs often need moist refuges, streams, and vegetated drainage lines. Riparian gaps can matter as much as the size of a single bushland patch.",True,recorded within ~2 km of Robertson Nature Reserve,9,2018,2022,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_012,Amphibians,Brown Tree Frog,Litoria ewingii,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Frogs often need moist refuges, streams, and vegetated drainage lines. Riparian gaps can matter as much as the size of a single bushland patch.",True,recorded within ~2 km of Robertson Nature Reserve,1,2021,2021,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_013,Reptiles,Eastern Blue-tongue,Tiliqua scincoides,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Reptiles use logs, rock, leaf litter and sunny edges within native vegetation. Small remnants can still matter when they keep structural habitat in the matrix.",True,recorded within ~2 km of Robertson Nature Reserve,19,1992,2025,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_014,Reptiles,Highland Copperhead,Austrelaps ramsayi,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Reptiles use logs, rock, leaf litter and sunny edges within native vegetation. Small remnants can still matter when they keep structural habitat in the matrix.",True,recorded within ~2 km of Robertson Nature Reserve,18,2003,2021,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_015,Reptiles,Red-bellied Black Snake,Pseudechis porphyriacus,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Reptiles use logs, rock, leaf litter and sunny edges within native vegetation. Small remnants can still matter when they keep structural habitat in the matrix.",True,recorded within ~2 km of Robertson Nature Reserve,9,2013,2021,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_016,Reptiles,Eastern Snake-necked Turtle,Chelodina longicollis,Not listed (NSW),Not Listed,Rainforest / wet forest mosaic,"Reptiles use logs, rock, leaf litter and sunny edges within native vegetation. Small remnants can still matter when they keep structural habitat in the matrix.",True,recorded within ~2 km of Robertson Nature Reserve,5,1992,2022,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_017,Native plants,Sassafras,Doryphora sassafras,Not listed (NSW),Not Listed,Robertson Rainforest / native flora,"Robertson Rainforest is a plant community first — trees, shrubs, ferns and vines that define the TEC. Conserving animals without conserving the flora misses half the story.",True,recorded within ~2 km of Robertson Nature Reserve,26,1966,2023,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_018,Native plants,Blackwood,Acacia melanoxylon,Not listed (NSW),Not Listed,Robertson Rainforest / native flora,"Robertson Rainforest is a plant community first — trees, shrubs, ferns and vines that define the TEC. Conserving animals without conserving the flora misses half the story.",True,recorded within ~2 km of Robertson Nature Reserve,19,1963,2023,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_019,Native plants,Featherwood,Polyosma cunninghamii,Not listed (NSW),Not Listed,Robertson Rainforest / native flora,"Robertson Rainforest is a plant community first — trees, shrubs, ferns and vines that define the TEC. Conserving animals without conserving the flora misses half the story.",True,recorded within ~2 km of Robertson Nature Reserve,14,1970,2010,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
sp_020,Native plants,Brush Pepperbush,Tasmannia insipida,Not listed (NSW),Not Listed,Robertson Rainforest / native flora,"Robertson Rainforest is a plant community first — trees, shrubs, ferns and vines that define the TEC. Conserving animals without conserving the flora misses half the story.",True,recorded within ~2 km of Robertson Nature Reserve,13,1970,2010,False,False,public_point_ok_if_needed,NSW BioNet Species Sightings (public extract in project GPKG),OBSERVED,needed,
