dataset_id,layer_group,priority,status,publisher,source_name,url,licence,format,native_crs,resolution_or_scale,dataset_date_or_edition,download_date,publicly_downloadable,sensitive_data_risk,story_section,python_vs_arcgis,notes_limitations
npws_estate,RESERVE,Essential,Downloaded,NSW DCCEEW / NPWS,NSW NPWS Estate,https://datasets.seed.nsw.gov.au/dataset/nsw-national-parks-and-wildlife-service-npws-estate3f9e7,CC BY 4.0,Shapefile ZIP / WFS / REST,GDA94/GDA2020 (confirm on download),cadastral reserve boundaries,Quarterly updates (2025+ editions),2026-08-10,Yes,Low — tenure boundaries,Reserve / Network / People,PYTHON PREP + DASHBOARD,Primary source for Robertson Nature Reserve and nearby NP/NR/SCA. Filter by reservename / type.
wingecarribee_lga,PEOPLE,Essential,Downloaded,NSW Spatial Services,NSW LGA boundaries (Administrative Boundaries),https://data.nsw.gov.au/data/dataset/nsw-administrative-boundaries,CC BY,REST / download package,GDA2020 preferred,admin boundary,,2026-08-10,Low,People / Context,PYTHON PREP,Clip/context only — LGA is not ecological.,
svtm_extant,THEN_NOW / HABITAT,Essential,Downloaded,NSW DCCEEW,NSW State Vegetation Type Map (Extant),https://datasets.seed.nsw.gov.au/dataset/nsw-state-vegetation-type-map,CC BY 4.0,Feature class / 5 m GeoTIFF,EPSG:3308 (GDA94 NSW Lambert),5 m raster / regional vector,SVTM C2.x releases,2026-08-10,Yes,Low,Remnant / Habitat / Network,PYTHON PREP + ARCGIS,Best statewide extant PCT/class/formation map. Regional-scale — do not over-interpret 5 m edges as field survey.
svtm_preclear,THEN_NOW,Essential,Downloaded,NSW DCCEEW,NSW State Vegetation Type Map (Pre-Clearing),https://data.nsw.gov.au/data/dataset/nsw-state-vegetation-type-map-pre-clearing,CC BY 4.0,Feature class / 5 m GeoTIFF,EPSG:3308,5 m,Pre-clearing SVTM product,2026-08-10,Yes,Low,Remnant,PYTHON PREP + DASHBOARD,Modelled pre-clearing PCT extent — NOT a digitised historic Yarrawa Brush survey. Label as modelled pre-clearing vegetation context.
rainforest_pct_filter,THEN_NOW / HABITAT,Essential,Derived,Project-derived from SVTM,Rainforest / wet sclerophyll PCT subset (local filter),n/a (derived),Derived from CC BY source,GeoPackage layer,EPSG:7856,inherits SVTM,,,Low,Remnant / Network,PYTHON PREP,Select PCTs/formations relevant to cool/warm temperate rainforest after PCT review — document PCT list.,
tec_nsw,HABITAT,Strong supporting,Downloaded,NSW DCCEEW,Threatened Ecological Communities (BioNet / SEED TEC products),https://www.environment.nsw.gov.au/topics/animals-and-plants/threatened-species,CC BY / check product,Varies by TEC product,Varies,Varies,,2026-08-10,Medium — TEC presence can be sensitive for some taxa,Habitat / Remnant,PYTHON PREP,Confirm which TEC polygons cover Robertson plateau; may be indicative not cadastral.,
bionet_sightings,BIODIVERSITY,Essential,Downloaded,NSW DCCEEW,BioNet Species Sightings (Web Service / Atlas extract),https://www.environment.nsw.gov.au/topics/animals-and-plants/biodiversity/nsw-bionet/web-services,BioNet terms + CC components,OData API / TSV extract,WGS84 typically,point observations,Continuous,2026-08-10,Public (denatured for sensitive),High — sensitive species denatured publicly,Refuge,PYTHON PREP + ARCGIS,Observer effort bias. Public coords for sensitive species are denatured — aggregate threatened spp. to grid.
ala_occurrences,BIODIVERSITY,Strong supporting,Proposed,Atlas of Living Australia / CSIRO,ALA occurrence records,https://api.ala.org.au/,CC BY / record-level licences,API / CSV,WGS84,point observations,Continuous,,Yes,Medium–High for some taxa,Refuge,PYTHON PREP,Complement BioNet; dedupe; respect sensitive flags; effort bias.
species_richness_grid,BIODIVERSITY,Essential,Derived,Project-derived,Observation / richness metrics on analysis grid,n/a (derived),Derived,GeoPackage + CSV,EPSG:7856,250 m (optional 500 m),,,Low after aggregation,Refuge,PYTHON PREP + ARCGIS,Report effort caveats; never publish precise sensitive locations.,
nsw_hydro_named,WATER,Essential,Downloaded,NSW Spatial Services,NSW Hydrography / Water Theme (NamedWatercourse HydroLine HydroArea),https://data.nsw.gov.au/data/dataset/nsw-hydrography,CC BY,REST FeatureServer / WMS,Web Mercator service / GDA on extract,1:25k–topo scale family,,2026-08-10,Low,Water / Network,PYTHON PREP + ARCGIS,Prefer NSW_Water_Theme FeatureServer extract clipped to AOI.,
catchments_nsw,WATER,Strong supporting,Proposed,NSW DCCEEW / Water,NSW catchment / hydro area products (SEED search: catchments watersheds),https://datasets.seed.nsw.gov.au/,CC BY typically,Shapefile / REST,Varies,catchment scale,,Yes,Low,Water,PYTHON PREP,Confirm best local product (e.g. Australian Hydrological Geospatial Fabric nested catchments vs NSW drainage).,
dem_ga,TERRAIN,Essential,Downloaded,Geoscience Australia,Digital Elevation Model of Australia / ELVIS or DEA elevation products,https://elevation.fsdf.org.au/ / https://www.ga.gov.au/,CC BY 4.0 typically,GeoTIFF,GDA2020,1–5–30 m depending on product,,2026-08-10,Low,Terrain / Water,PYTHON PREP + ARCGIS,Use best freely available DEM for Southern Highlands (prefer 1–5 m if available via ELVIS for AOI).,
slope_aspect,TERRAIN,Essential,Derived,Project-derived from DEM,Slope aspect ruggedness,n/a (derived),Derived,GeoTIFF,EPSG:7856,matches DEM,,,Low,Terrain,ARCGIS preferred (Spatial Analyst) / optional Python,Prefer ArcGIS for cartographic terrain products; Python can pre-clip DEM.,
soil_landscapes_nsw,SOILS,Strong supporting,Downloaded,NSW DCCEEW,NSW Soil Landscapes / soil and land resources (SEED),https://datasets.seed.nsw.gov.au/,CC BY,Shapefile / REST,GDA94/GDA2020,1:100k–1:250k typical,,2026-08-10,Low,Soils / Remnant context,PYTHON PREP + DASHBOARD,Key for basalt / rainforest association narrative — association not causation.,
geology_nsw,SOILS,Strong supporting,Downloaded,Geological Survey of NSW / MinView or SEED geology,NSW Seamless Geology / statewide geology layers,https://minview.geoscience.nsw.gov.au/ / SEED,CC BY typically,REST / download,GDA,regional,,2026-08-10,Low,Soils / Geology,PYTHON PREP,Support 'why rainforest here' story with Tertiary basalt vs surrounding lithology.,
nsw_landuse,LANDSCAPE,Strong supporting,Proposed,NSW DCCEEW,NSW Landuse,https://datasets.seed.nsw.gov.au/dataset/nsw-landuse,CC BY,Shapefile / raster,Varies,regional land-use mapping,e.g. 2017+ editions,,Yes,Low,Then&Now / People,PYTHON PREP,Cleared vs native context; vintage matters — document year.
woody_change_slats,THEN_NOW,Experimental,Proposed,NSW DCCEEW,SLATS woody vegetation change,https://datasets.seed.nsw.gov.au/,CC BY,Raster / vector,Varies,annual/period change,,Yes,Low,Then&Now,PYTHON PREP,Useful for recent woody change; not a full historic rainforest reconstruction.,
dea_landcover_or_fc,LANDSCAPE / CLIMATE,Strong supporting,Proposed,Geoscience Australia / DEA,DEA Land Cover or Fractional Cover / NDVI products,https://www.dea.ga.gov.au/,CC BY 4.0,Cloud-optimised GeoTIFF / STAC,GDA2020/WGS84,25–30 m typically,,Yes,Low,Climate-vegetation / Habitat,PYTHON PREP + DASHBOARD,Good for canopy/greenness contrasts; do not claim reserve-driven climate change.,
bom_rainfall,CLIMATE,Experimental,Proposed,Bureau of Meteorology,Gridded rainfall / climate normals,http://www.bom.gov.au/climate/data/,BOM licence terms,Raster,GDA,grid scales ~1–5 km,,Yes with licence check,Low,Climate,PYTHON PREP,Regional climate context only — too coarse to attribute to a 5 ha reserve.,
fire_history_nsw,CLIMATE / LANDSCAPE,Strong supporting,Downloaded,NSW RFS / NPWS,Bush fire prone land + fire history products,https://datasets.seed.nsw.gov.au/ / RFS open data,CC BY / check product,Shapefile,Varies,varies,,2026-08-10,Low–Medium,Landscape,PYTHON PREP,Fire context for resilience story; verify currency.,
roads_nsw,PEOPLE / BARRIERS,Essential,Downloaded,NSW Spatial Services (+ OSM fallback),NSW Transport Theme RoadSegment; OSM Overpass if REST unavailable,https://portal.spatial.nsw.gov.au/ ; https://www.openstreetmap.org/,CC BY / ODbL,REST FeatureServer / Overpass JSON,GDA2020 / WGS84,topo/transport scale,,2026-08-10,Low,People / Network barriers,PYTHON PREP + ARCGIS,Prefer NSW Transport Theme. If service returns HTTP 500, Phase 1 uses OSM highway extract labelled source=openstreetmap_overpass (not asset register).
abs_asgs_pop,PEOPLE,Strong supporting,Proposed,ABS,ASGS boundaries + Census population (SA1/Mesh Block),https://www.abs.gov.au/,CC BY 4.0,Shapefile / Pack,GDA2020,ASGS units,Census years,,Yes,Low,People,PYTHON PREP,Human context density — not tourism product.
schools_nsw,PEOPLE,Strong supporting,Proposed,NSW Education / Data.NSW,NSW public schools master dataset,https://data.nsw.gov.au/,CC BY,CSV + coords,WGS84,point,,Yes,Low,People,PYTHON PREP,Reuse pattern from prior Wingecarribee project if helpful.,
cadastre_lots,FUTURE / PEOPLE,Experimental,Proposed,NSW Spatial Services,NSW Cadastre / lot parcels,https://portal.spatial.nsw.gov.au/,Licence / access may be restricted for bulk,REST,GDA2020,cadastral,,Often restricted or licensed,Low–Medium privacy,Opportunity,PYTHON PREP (if licensed) + ARCGIS,Only if permissible. Prefer aggregated public land / tenure overlays if cadastre bulk access is blocked.,
public_land_crown,FUTURE,Strong supporting,Downloaded,NSW Crown Lands / Spatial Services,Crown land / public land tenure layers,https://www.nsw.gov.au/departments-and-agencies/crown-lands / SEED,CC BY / check,REST / download,GDA,tenure,,2026-08-10,Low,Opportunity / People,PYTHON PREP,Useful for opportunity without private parcel detail.,
biodiversity_offsets_or_agreements,FUTURE,Experimental,Proposed,NSW DCCEEW,Biodiversity conservation agreements / stewardship (if public),SEED / Data.NSW search,Varies,Varies,Varies,Varies,,Sometimes partial,Medium,Opportunity,PYTHON PREP,Include only if publicly mappable polygons exist; else document gap.,
land_for_wildlife,FUTURE,Probably unnecessary / Experimental,Uncertain,Varies by program,Land for Wildlife properties,Program-dependent,Often not public spatial,Unknown,,,,Likely No,Privacy,Opportunity,DO NOT MAP unless public,Likely unavailable as open cadastral layer — narrative only.,
